Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
132,O.J. Howard,TAM,25,TE,14,14,53,34,64.20%,459,13.5,1,23,33,8.7,2.4,32.8,1,HowaO.00,83.9
133,J.D. McKissic,DET,26,wr,16,3,42,34,81.00%,233,6.9,1,7,26,5.5,2.1,14.6,0,McKiJ.00,63.3
134,Latavius Murray,NOR,29,rb,16,8,43,34,79.10%,235,6.9,1,9,30,5.5,2.1,14.7,0,MurrLa00,63.5
135,Steven Sims,WAS,22,wr,16,2,56,34,60.70%,310,9.1,4,18,65,5.5,2.1,19.4,1,SimsSt00,87
136,Damiere Byrd,ARI,26,wr,11,3,46,32,69.60%,359,11.2,1,16,58,7.8,2.9,32.6,1,ByrdDa00,71.9
137,T.J. Hockenson,DET,22,te,12,7,59,32,54.20%,367,11.5,2,19,39,6.2,2.7,30.6,0,HockTJ00,80.7
138,Allen Hurns,MIA,28,WR,14,7,47,32,68.10%,416,13,2,18,27,8.9,2.3,29.7,1,HurnAl01,83.6
139,Demarcus Robinson,KAN,25,wr,16,10,55,32,58.20%,449,14,4,19,44,8.2,2,28.1,0,RobiDe01,100.9
140,Preston Williams,MIA,22,WR,8,7,60,32,53.30%,428,13.4,3,24,35,7.1,4,53.5,2,WillPr01,88.8
141,Nick Boyle,BAL,26,TE,16,15,43,31,72.10%,321,10.4,2,13,35,7.5,1.9,20.1,0,BoylNi00,75.1
142,Eric Ebron,IND,26,te,11,2,52,31,59.60%,375,12.1,3,20,48,7.2,2.8,34.1,0,EbroEr00,86.5
143,Todd Gurley,LAR,25,RB,15,15,49,31,63.30%,207,6.7,2,8,23,4.2,2.1,13.8,3,GurlTo01,57.7
144,Blake Jarwin,DAL,25,TE,16,7,41,31,75.60%,365,11.8,3,17,42,8.9,1.9,22.8,1,JarwBl00,83.5
145,Olabisi Johnson,MIN,22,,16,6,45,31,68.90%,294,9.5,3,17,23,6.5,1.9,18.4,0,JohnOl00,78.4
146,Ronald Jones II,TAM,22,RB,16,9,40,31,77.50%,309,10,0,12,41,7.7,1.9,19.3,3,JoneRo01,55.9
